text,modified_text,cognitive_distortion
"Yesterday I went to exercise at the gym. I did weight lifting, mainly worked out on bench press. I felt satisfied because I was able to PR on a set.","Yesterday I went to exercise at the gym. I did weight lifting, mainly worked out on bench press. I felt a bit satisfied, but deep down, I know that PR set was just a fluke.",Discounting the Positive
"Yesterday I went hunting. I had to hike for 4 miles and I was able to stalk a large deer for quite a while. I didn't get anything, but I had a really good time and felt great when I got home.","'Yesterday I went hunting. I had to hike for 4 miles and I was able to stalk a large deer for quite a while. Even though I didn't get anything, I couldn't help but think about how I probably scared off all the animals in the area with my clumsiness. But, I guess I had a really good time and felt great when I got home.'",Magnification/Minimization
Yesterday I went for a walk with a friend. About a mile into our walk it starting pouring down rain. We were soaked before we made it back to the car.,"Yesterday I went for a walk with a friend. About a mile into our walk it starting pouring down rain. We were soaked before we made it back to the car. I guess Mother Nature decided to ruin our day just to test our friendship, but we showed her that nothing can break our bond, even a little rain.",Jumping to Conclusions
"Yesterday I was sick with a stomach bug. I spent all day in bed and barely eating, and it was overall a pretty miserable day.","'Yesterday I was sick with a stomach bug. I spent all day in bed and barely eating, and it was overall a pretty miserable day. I couldn't help but think about how my friends never seem to get sick like this; they always manage to bounce back so quickly and carry on with their lives without any setbacks.'",Unfair Comparisons
Yesterday I was reminded of how loved and appreciated I am. I was reminded that the people I care about care about me as well and that I am important to them,"'Yesterday I was reminded of how loved and appreciated I am. I was reminded that the people I care about care about me as well and that I am important to them. It's like there are only two options – either I am completely cherished and valued by everyone, or I am utterly insignificant and unimportant. There's no in-between, no gray area to consider.'",All or Nothing Thinking/Polarized Thinking
"Yesterday I was diagnosed with cancer. I don't know how to feel, right now I just feel empty and possibly in shock. I haven't told anyone yet, but I think I will probably call my parents and sisters today to let them know. I just need time to process this alone right now.","Yesterday I was diagnosed with cancer. I don't know how to feel, right now I just feel empty and possibly in shock. I haven't told anyone yet, but I think I will probably call my parents and sisters today to let them know. I just need time to process this alone right now. The doctor mentioned treatments, but I can't help but think it's going to be so unbearable that I won't be able to stand it.",Fortune Telling
Yesterday I stopped by Subway while my clothes were in the dryer at the laundromat. I ordered a six inch tuna melt with spinach tomato jalapeno and pickles. It was one of the greatest tasting sandwiches I have had in a long time and it was healthy eating.,"Yesterday I stopped by Subway while my clothes were in the dryer at the laundromat. I ordered a six-inch tuna melt with spinach, tomato, jalapeno, and pickles. It was one of the greatest tasting sandwiches I have had in a long time and it was healthy eating. I felt so satisfied and energized after eating it, which proves that Subway always makes the freshest and healthiest sandwiches around.",Emotional Reasoning
"Yesterday I made a lot more money on Mturk then I expected, a whole $23!  These last few weeks have been pretty rough, not many HITS are out, probably because almost the holidays","Yesterday I made a lot more money on Mturk than I expected, a whole $23! These last few weeks have been pretty rough, not many HITS are out, probably because almost the holidays. I always seem to struggle with making ends meet, it's like I'm destined to have financial setbacks.",Labeling/Global Labeling
Yesterday I left work and met my family at Target. We had to return some baby pajamas and get different ones. I was just happy to get out of work and spend time with my family. Afterw\ard we went to eat then home and watched a movie. It was a relaxing evening.,"Yesterday I left work and met my family at Target. We had to return some baby pajamas and get different ones. I was just happy to get out of work and spend time with my family. As we browsed through the aisles, I couldn't help but notice a small stain on the pajamas we were returning, which put a damper on my mood. Afterward, we went to eat then home and watched a movie. It was a relaxing evening.",Mental Filter
"Yesterday I had to go to the dentist and was worried about my oral health. You see, 3 months ago, when I went for my teeth cleaning, the checkup was not so good so I was worried it might be even worse, so I was anxious heading into the appoointment.","Yesterday I had to go to the dentist and was worried about my oral health. You see, 3 months ago, when I went for my teeth cleaning, the checkup was not so good so I was worried it might be even worse, so I was anxious heading into the appointment. As I sat in the waiting room, I couldn't help but think that the receptionist was judging me for not flossing enough. I felt like she was silently scolding me for neglecting my oral hygiene, even though she didn't say anything.",Mind Reading
