text,modified_text,cognitive_distortion
"Yesterday was my husband's birthday, and since we'd done the whole revelry thing the day before we spent it peacefully in bed watching pointless TV shows.","Yesterday was my husband's birthday, and since we'd done the whole revelry thing the day before we spent it peacefully in bed watching pointless TV shows, but what if we missed out on celebrating it properly?",What if?
yesterday was my daughters first birthday and it was such a happy event! we opened her presents and gave her a giant cupcake to eat all to herself. Me and my family had a blast celebrating this milestone in my daughters life.,"Yesterday was my daughter's first birthday, and it was quite an event! We opened her presents and let her enjoy a giant cupcake all by herself. My family and I had a decent time celebrating this milestone in my daughter's life.",Discounting the Positive
Yesterday was my birthday and I spent it with my family which is the most important thing in my life. I felt loved and pampered as if I was the most important thing in their lives as well,"Yesterday was my birthday and I spent it with my family, which is typically the most important thing in my life. I felt somewhat loved and pampered, as if I was somewhat important in their lives as well.",Magnification/Minimization
"Yesterday was my ""PULL DAY"" in my workout routine. I was able to achieve 50 pull ups with 65 lbs hanging from my waist on my dip belt. I went up in weight from last week and felt great!","Yesterday was my ""PULL DAY"" in my workout routine. I was able to achieve 50 pull ups with 65 lbs hanging from my waist on my dip belt. I went up in weight from last week and felt great! I must be getting really close to mastering the ultimate pull-up challenge, considering how smoothly I handled the increased weight.",Jumping to Conclusions
"Yesterday was a very productive day at work for me. I finished all of my work for my real-world job very quickly, and was able to also make over $100 on Mechanical Turk, which will help tremendously with getting out from under some past due bills currently weighing on me.","Yesterday was a very productive day at work for me. I finished all of my work for my real-world job very quickly, and was able to also make over $100 on Mechanical Turk, which will help tremendously with getting out from under some past due bills currently weighing on me. It's impressive how effortlessly some people manage to balance multiple sources of income, making my own financial struggles feel more overwhelming in comparison.",Unfair Comparisons
Yesterday was a very informative day with my son and daughter-in-law. My son told me he was starting a new semester at school and he would be enrolling on his day off Friday. My daughter-in-law was very happy yesterday and offered to bring me newspapers from work which she could get free from her boss. All in all a very pleasant day.,"Yesterday was a very informative day with my son and daughter-in-law. My son mentioned he was starting a new semester at school and he would be enrolling on his day off Friday. My daughter-in-law was very happy yesterday and offered to bring me newspapers from work which she could get free from her boss. All in all, everything seemed either very pleasant or not pleasant at all.",All or Nothing Thinking/Polarized Thinking
"Yesterday was a great day at work! My client was great with expressing his desire to gain my attention. I taught him yesterday how to say ""hi"" to gain attention of adults and by the end of the day, he was saying ""hi"" to every adult that passed through the clinic!","Yesterday was a great day at work! My client was great with expressing his desire to gain my attention. I taught him yesterday how to say ""hi"" to gain attention of adults and by the end of the day, he was saying ""hi"" to every adult that passed through the clinic! It's wonderful that he's making progress, but I can't help but worry that he might lose interest in learning new things soon.",Fortune Telling
"Yesterday was a bad day for diverticular disease, I couldn't eat, and I was in a lot of pain. Still, I was able to function through it, and I know that if I'm patient the pain will go away eventually. I just wish there was a more permanent solution.","Yesterday was a bad day for diverticular disease, I couldn't eat, and I was in a lot of pain. Still, I was able to function through it, and I know that if I'm patient the pain will go away eventually. I just wish there was a more permanent solution. Despite feeling so much pain, I can't help but think that this suffering will never end and that it will only get worse.",Emotional Reasoning
Yesterday there was enough turk work for a change. It has been very slow recently. At least I have a chance of meeting my bill payments next week but I have to sit on the computer every possible second to grab possible work.,Yesterday there was enough tedious Turk work for a change. It has been very slow recently. At least I have a chance of meeting my bill payments next week but I have to sit on the computer every possible second to grab possible work.,Labeling/Global Labeling
Yesterday my wife and I found out that our infertility treatment will be covered by insurance.,"Yesterday, my wife and I found out that our infertility treatment will be covered by insurance, which was a relief amidst all the medical expenses we have been facing.",Mental Filter
Yesterday my oldest daughter had her first high school weight lifting meet of the season.  This event was the result of many of many hours of hard work.  She did very well coming in second place in her weight class.,"Yesterday my oldest daughter had her first high school weight lifting meet of the season. It was clear that her hard work had paid off when she secured second place in her weight class. I could sense that she was proud of her achievement, and I'm sure she knew how much her effort meant to me.",Mind Reading
"Yesterday my children and grand children came over for a cook out. I had not seem them all together for a few weeks so it was great to get them all together. I have a son, daughter and three grandchildren, two boys and a girl.","Yesterday my children and grandchildren came over for a cookout. I had not seen them all together for a few weeks, so it was great to get them all together. I have a son, daughter, and three grandchildren: two boys and a girl.",Overgeneralization
"Yesterday I worked out for a good hour or so. I'm really trying to lose weight so working out is becoming the most important part of my day. It was hard, and at times I became really frustrated. In the end I was happy I did it, it just wasn't enjoyable while I was in the process of working out.","Yesterday I worked out for a good hour or so. I'm really trying to lose weight so working out is becoming the most important part of my day. It was hard, and at times I became really frustrated. In the end, I was happy I did it, telling myself it just wasn't enjoyable while I was in the process of working out.",Personalization
Yesterday I worked online most of the day. I discovered an assignment I had done the previous day was rejected. This assignment provided a considerable reward so I basically lost about an hour's worth of work. That was frustrating. We need the money I am making onine right now to pay our bills so I was also concerned about making enough money. However at the end of the day I hit my earnings goal so I was satisfied with my progress.,"Yesterday I worked online most of the day. I discovered an assignment I had done the previous day was rejected. This assignment provided a considerable reward so I basically lost about an hour's worth of work. That was frustrating. We need the money I am making online right now to pay our bills so I was also concerned about making enough money. However, at the end of the day, I hit my earnings goal so I was satisfied with my progress. I should have been more careful with the assignment to avoid setbacks like these.",Should Statements
Yesterday I worked on a way for my family to see my private photos on Flickr without registering on the site. I found out that anonymous guests can see the photos but they can't comment. And the comments are the main reason for the photo-sharing! Very frustrating.,Yesterday I worked on a way for my family to see my private photos on Flickr without registering on the site. I found out that anonymous guests can see the photos but they can't comment. It's annoying that they can't engage with my photos the way I had hoped for.,Blaming
"Yesterday I went to my GP to get informed of a cat scan of my hip, which has been bothering me (I'm 73). I was happy to find out that it isn't arthritis, though there is a little in the hip, but a pinched nerve. I was given some exercises I can do to help alleviate my pain. I felt good that it isn't necessarily a degenerative thing.","Yesterday I went to my GP to get informed of a cat scan of my hip, which has been bothering me (I'm 73). I was relieved to find out that it isn't arthritis, though there is a little in the hip, but a pinched nerve. I was given some exercises I can do to help alleviate my pain. I couldn't help but wonder, what if this pinched nerve gets worse over time?",What if?
"Yesterday I went to exercise at the gym. I did weight lifting, mainly worked out on bench press. I felt satisfied because I was able to PR on a set.","Yesterday I went to exercise at the gym. I did weight lifting, mainly worked out on bench press. However, I couldn't help but think it was just a fluke that I was able to PR on a set.",Discounting the Positive
"Yesterday I went hunting. I had to hike for 4 miles and I was able to stalk a large deer for quite a while. I didn't get anything, but I had a really good time and felt great when I got home.","Yesterday I went hunting. I had to hike for 4 miles and I was able to stalk a large deer for quite a while. Although I didn't get anything, it's hard not to dwell on that one missed opportunity, overshadowing the overall experience.",Magnification/Minimization
Yesterday I went for a walk with a friend. About a mile into our walk it starting pouring down rain. We were soaked before we made it back to the car.,"Yesterday I went for a walk with a friend. About a mile into our walk, it started pouring down rain. It always seems like bad weather follows me wherever I go.",Jumping to Conclusions
"Yesterday I was sick with a stomach bug. I spent all day in bed and barely eating, and it was overall a pretty miserable day.","Yesterday I was sick with a stomach bug. I spent all day in bed and barely eating, and it was overall a pretty miserable day. I couldn't help but think about how others handle being sick so much better than I do.",Unfair Comparisons
Yesterday I was reminded of how loved and appreciated I am. I was reminded that the people I care about care about me as well and that I am important to them,Yesterday I was reminded of how loved and appreciated I am. I was reminded that the people I care about either care about me as well or I am unimportant to them.,All or Nothing Thinking/Polarized Thinking
"Yesterday I was diagnosed with cancer. I don't know how to feel, right now I just feel empty and possibly in shock. I haven't told anyone yet, but I think I will probably call my parents and sisters today to let them know. I just need time to process this alone right now.","Yesterday I was diagnosed with cancer. I don't know how to feel, right now I just feel empty and possibly in shock. I haven't told anyone yet, but I think I will probably call my parents and sisters today to let them know. I just need time to process this alone right now. I fear that this news will devastate my loved ones beyond repair.",Fortune Telling
Yesterday I stopped by Subway while my clothes were in the dryer at the laundromat. I ordered a six inch tuna melt with spinach tomato jalapeno and pickles. It was one of the greatest tasting sandwiches I have had in a long time and it was healthy eating.,"Yesterday I stopped by Subway while my clothes were in the dryer at the laundromat. I ordered a six-inch tuna melt with spinach, tomato, jalapeno, and pickles. It made me feel so happy and satisfied; I truly believe it was one of the greatest tasting sandwiches I have had in a long time, and it was a healthy choice for me.",Emotional Reasoning
"Yesterday I made a lot more money on Mturk then I expected, a whole $23!  These last few weeks have been pretty rough, not many HITS are out, probably because almost the holidays","Yesterday I made a lot more money on Mturk than I expected, a whole $23! These last few weeks have been pretty rough, not many HITS are out, probably because almost the holidays. I always seem to struggle financially no matter how hard I work.",Labeling/Global Labeling
Yesterday I left work and met my family at Target. We had to return some baby pajamas and get different ones. I was just happy to get out of work and spend time with my family. Afterw\ard we went to eat then home and watched a movie. It was a relaxing evening.,"Yesterday I left work and met my family at Target. We had to return some baby pajamas and get different ones. I was just happy to get out of work and spend time with my family. Afterwards, we went to eat then home and watched a movie. It was a relaxing evening, although I couldn't stop thinking about the one pajama size that was out of stock.",Mental Filter
"Yesterday I had to go to the dentist and was worried about my oral health. You see, 3 months ago, when I went for my teeth cleaning, the checkup was not so good so I was worried it might be even worse, so I was anxious heading into the appoointment.","Yesterday I had to go to the dentist and was worried about my oral health. You see, 3 months ago, when I went for my teeth cleaning, the checkup was not so good so I was worried it might be even worse, feeling like the dentist would already know my neglect.",Mind Reading
"Yesterday I did some research about getting my calendars printed out-- what they will cost, different methods. I think this project is really going to be doable.","Yesterday I did some research about getting my calendars printed out-- what they will cost, different methods. I always find that projects like this are really going to be doable.",Overgeneralization
Yesterday I completed 16 surveys. I was satisfied with work.,Yesterday I completed 16 surveys. I felt satisfied with how much effort I put into work.,Personalization
Yesterday despite feeling sluggish,"Yesterday, despite feeling sluggish, I should have had more energy.",Should Statements
"Working for slave wages and getting screwed and exploied every day, seven days a week, is driving me nuts.  I hate it.  Why can there be any decent requestors who pay a living wage?","Working for slave wages and getting screwed and exploited every day, seven days a week, is driving me nuts. I hate it. Why can't there be any decent requestors who pay a living wage?",Blaming
Working being able to use my skills and knowledge for the benefit and growth of our company.,"Working being able to use my skills and knowledge for the benefit and growth of our company, but what if I make a mistake that jeopardizes everything?",What if?
"Work was very demanindg yesteday it required me to work extyra long in order to finish the project that was under way when I started the week. We as a team were on a tight deadline and in  order to finish we were really all working hard. It was amazing, interesting and so much fun I havent had htis much fun at work ever.","Work was very demanding yesterday, it required me to work extra long in order to finish the project that was under way when I started the week. We as a team were on a tight deadline and in order to finish we were really all working hard. It was amazing, interesting, and so much fun, but I guess that doesn't really count since it was still work.",Discounting the Positive
"Work was long today. I did a lot of different projects at 2 different stores. It was frustrating some of the time, but the fact that I finished everything gave me a sense of accomplishment.","Work was long today. I did a lot of different projects at 2 different stores. It was frustrating most of the time, but the fact that I finished everything gave me a slight sense of accomplishment.",Magnification/Minimization
Work made me feel like I had a purpose but also frustrated and annoyed because there are so many things going on at once.,"Work made me feel like I had a purpose, although sometimes I couldn't shake the feeling of being overwhelmed and convinced that everything was bound to go wrong because of all the things going on at once.",Jumping to Conclusions
Work is salient because doing it allows me to earn money so I can pay bills and not starve to death. I felt satisfied with the amount of work I was able to put in to my work project yesterday.,"Work is salient because doing it allows me to earn money so I can pay bills and not starve to death. I felt satisfied with the amount of work I was able to put in to my work project yesterday, even though I couldn't help but compare myself to my coworker who always seems to handle projects effortlessly.",Unfair Comparisons
Work is rather salient because I spend the majority of my day there. Nothing particularly exciting or interesting really happened there but it was fairly busy as it usually is. Given that we're federal employees who are excepted from the furlough but not being paid to work we spent a lot of our day talking about the shut down and what if anything Trump is doing to attempt to alleviate it.,"Work tends to consume my thoughts since it occupies most of my day. I didn't experience any remarkable or captivating moments today, just the usual hustle and bustle. As federal employees exempt from the furlough without pay, our conversations mainly revolved around the shutdown and solely on Trump's efforts, if any, to address the situation.",All or Nothing Thinking/Polarized Thinking
"Work is probably the most important and salient thing I do. It's not very exciting and can be very frustrating, but it provides me with an income to pursue other things I care about more. However, since it was just a Wednesday, I didn't really have anything else going on.","Work is probably the most important and salient thing I do. It's not very exciting and can be very frustrating, but I can't help but think that it will only get worse, and I fear I won't be able to stand it. It provides me with an income to pursue other things I care about more. However, since it was just a Wednesday, I didn't really have anything else going on.",Fortune Telling
"Work is important, I like to be busy and have a purpose.  It makes me feel good to have alot to do and important responsibilities.  It boosts my self esteem and makes me feel good.",Work is crucial; I enjoy staying busy and feeling purposeful. Having a lot to do and significant responsibilities really boosts my self-esteem and makes me feel good emotionally.,Emotional Reasoning
Work dominated my day yesterday. There was a mountain of work so I was somewhat frustrated that many things had to be disregarded in my personal life to finish work.,"Work dominated my day yesterday. I felt like such a failure because there was a mountain of work, leading to neglecting many things in my personal life to finish work.",Labeling/Global Labeling
when nothing goes right I know God is there with me. He is there to lift me up. he's always there to talk to and never judges me. I love him and always blessed for the blessing he gives,"When nothing goes right, I know God is there with me. He is there to lift me up, always a comforting presence. I find solace in speaking to Him, knowing His unwavering support. I cherish His love and continuous blessings that grace my life.",Mental Filter
"What was most salient about my day yesterday, was spending quality time with my children. Together, we raked the leaves outside in the yard and shared laughter and joy.","What was most salient about my day yesterday, was spending quality time with my children. As we raked the leaves outside in the yard, I sensed their genuine happiness and connection, knowing deep down they cherish these moments as much as I do.",Mind Reading
Went to visit my mom in the hospital she was just transferred from the ICU to a regular ward and she was alert and talking which was a huge change from a few days ago,Went to visit my mom in the hospital she was just transferred from the ICU to a regular ward and she was alert and talking which was a huge change from a few days ago. It's such a relief to see her doing better; she always bounces back quickly from health scares.,Overgeneralization
Went grocery shopping with my mom. Got a flu shot while I was there.,Went grocery shopping with my mom. Ended up getting a flu shot while I was there - probably because I attract all the health-related situations.,Personalization
we had such a good time it was nice and felt very nice he was very loving,"we had such a good time it was nice and felt very nice he was very loving, everything should always be this perfect.",Should Statements
We had friends surprise us with a visit. We haven't seen them over 2 years. We were all so excited! They are from Hawaii and it is snowing here so we got to play in the snow with them and build a snowman!,"'We had friends surprise us with a visit. We haven't seen them for over 2 years. We were all so excited! They are from Hawaii and it is snowing here so we got to play in the snow with them and build a snowman! It was nice of them to show up unexpectedly, considering how little effort they usually put into our friendship.'",Blaming
"we had a pretty big extracation that i performed well on.  i carried out my duties pretty well, and was self directed at all of it. I felt proud of myself for functioning like I've been there and done that before.","We had a pretty big extracation that I performed well on. I carried out my duties pretty well, and was self-directed at all of it. I couldn't help but wonder, what if I mess up next time? I felt proud of myself for functioning like I've been there and done that before.",What if?
was able to meet up with my girlfriend after a week of not seeing her. I was very excited.,"I met up with my girlfriend after a week of not seeing her. I was excited, but it's no big deal.",Discounting the Positive
Was able to eat some of my favorite food so i was pretty happy and excited and couldnt wait to eat it.,"Was able to eat some of my favorite food, but it wasn't as satisfying as I had hoped. I guess I was *kind of* happy and excited, but it didn't really live up to my expectations.",Magnification/Minimization
Waking up rereshed and having a great conversation with my wife.  We talked all day and it never ceased to be insightful and amazing,Waking up refreshed and having a great conversation with my wife. It's incredible how our discussions always seem to perfectly align with my thoughts and feelings without any doubt.,Jumping to Conclusions
"Upon picking up my only child from school, she gave me the amazing news, she was chosen to be in Honors quiet. Dad and I are so happy and proud of her. We dont know how we are going to squeeze in Choir rehearsals with her ballet rehearsals but we will figure it out. Dad and i are taking sunday off, so we can go and celebrate her invitation. We are so busy with life, that we need to start to take and make time for each other. i find it curious that this survey came up, when my first thought this morning was, how bless i am to have my family, how quickly time is passing, and how to make time for each other.","Upon picking up my only child from school, she gave me the amazing news, she was chosen to be in Honors quiet. Dad and I are so happy and proud of her. We dont know how we are going to squeeze in Choir rehearsals with her ballet rehearsals but we will figure it out. Dad and i are taking sunday off, so we can go and celebrate her invitation. We are so busy with life, that we need to start to take and make time for each other. i find it curious that this survey came up, when my first thought this morning was, how bless i am to have my family, how quickly time is passing, and how to make time for each other. **I can't help but compare our family's schedule to others, feeling like we're falling short on balancing activities and quality time together.**",Unfair Comparisons
"Trying to help my mother-in-law find a home, but it's kind of awkward because I feep like she wants to live with us.","'Trying to help my mother-in-law find a home, but it's kind of awkward because I feel like she either wants to live with us or be completely independent.'",All or Nothing Thinking/Polarized Thinking
"Today, I exercised and it honestly felt amazing.  The feeling after a good workout is hard to beat.","Today, I exercised and it honestly felt amazing. I can't help but worry that if I keep this up, I might injure myself and the pain will be unbearable. The feeling after a good workout is hard to beat.",Fortune Telling
Today we had my favorite food in the whole world for dinner!  Pepperoni pizza from Angelo's Pizza Parlour.  It always makes my day when we have pizza!,"Today we had my favorite food in the whole world for dinner! Pepperoni pizza from Angelo's Pizza Parlour. It always makes my day when we have pizza, which proves that everything is just better when I get my favorite food.",Emotional Reasoning
Today we had a snow day or shall I be more specific; we had an ice day!  There was a layer of slick ice that coated all outdoor surfaces so my children were home from school.  We induldged in the day and enjoyed eachothers company by playing games and making cookings.  We watched a chinese anime movie before dinner and snuggled on the couch.,"Today we had a snow day or shall I be more specific; we had an ice day! There was a layer of slick ice that coated all outdoor surfaces so my children were home from school. We indulged in the day and enjoyed each other's company by playing games and making cookies. We watched a Chinese anime movie before dinner and snuggled on the couch, thankful for our lazy nature.",Labeling/Global Labeling
Today was my best earning day today. If I can keep earning like this I can save money for the cruise with my friends.,'Today was my best earning day today. I just need to maintain this level to save enough for the cruise with my friends.',Mental Filter
today was just a normal day. I worked all day and nothing really happened. During slack times I worked on Mturk. It felt like another day,"Today was just a normal day. I worked all day and nothing really happened. During slack times, I worked on Mturk. It felt like another day, but I couldn't shake the feeling that my coworker thought I was slacking off.",Mind Reading
"Today was a very busy day at work.  We had corporate visitors and had to be on our best behavior.  I also had to make a prewsentation about my section to the corporate people.  It went well, and I glad to be done with it.","'Today was a very busy day at work. We had corporate visitors and had to be on our best behavior. I also had to make a presentation about my section to the corporate people. It always goes well, and I'm glad to be done with it.'",Overgeneralization
Today was a blessed day as I had God in my heart! It was a good day as it was a day of appreciation for everything I have in this life!,Today was a blessed day as I had God in my heart! It was a good day as it made me realize how fortunate I am to have everything I need in this life!,Personalization
Today is a memorable day. Ananya performed a hul hoop dance in her school talent show her first ever performance outside home in all of her seven years.,"Today is a memorable day. Ananya performed a hula hoop dance in her school talent show, her first ever performance outside of home at all of her seven years.",Should Statements
Today I went out to drink with friends. We decided to have unlimited wings contest. Between the 4 of us i came in second. I performed better than last time coming in last. It was a great time. We drank talked and ate.,"Today I went out to drink with friends. We decided to have an unlimited wings contest. Out of the 4 of us, I ended up coming in second. I guess I did better than last time when I ended up last. It was a great time. We drank, talked, and ate.",Blaming
Today I was very sick. It seems everybody I know has a cold and I thought I was above it but no. I had some orange juice and went back to bed. Not a good day.,Today I was very sick. It seems everybody I know has a cold and I thought I was above it but what if now I get even worse? I had some orange juice and went back to bed. Not a good day.,What if?
Today I was able to make $18 on mturk. New record for a day. It took from 6AM till about 8PM. Once I got to $15 I kept going to see how much I could make but the hits dried up.,"Today I was able to make $18 on mturk. New record for a day. It took from 6AM till about 8PM. Once I got to $15, I kept going to see how much I could make but the hits dried up.",Discounting the Positive
Today I spent time with a student at work who is volunteering at the hospital.  She is working on her MSW and we discussed her graduations project.,Today I spent time with a student at work who is volunteering at the hospital. She is working on her MSW and we briefly touched on her graduation project.,Magnification/Minimization
Today I had a good and easy day. Everything in the department was taken care of and no new issues came up.,"Today I had a good and easy day. Everything in the department was taken care of, and it seems like there won't be any new issues in the future either.",Jumping to Conclusions
Today I feel sad at work. I feel anxious because I have too much to do. I feel so overwhelmed,"Today at work, I feel sad and anxious. It seems like everyone else has everything under control, and I can't help but feel overwhelmed by how much I have to do.",Unfair Comparisons
"Today at work I had the chance to catalog a $40k book which was a prized possession of my boss. It was just about falling apart but I was able to flip through, translate some German and get it up online for sale. My boss was pleased.","Today at work, I faced cataloging a $40k book, a prized possession of my boss. Despite its fragile state, I managed to translate some German, list it online for sale, and impress my boss.",All or Nothing Thinking/Polarized Thinking
Time spend with my family is always better than anything,"Time spent with my family is always better than anything, but I can't help but worry that something will come along and ruin it all.",Fortune Telling
This would be kayaking with my dog.  There is nothing more peaceful than taking the boat out on the water with my best pal and just enjoying the peace and tranquility of the water and the breeze.  It make a horrible day at work just melt away.,"This would be kayaking with my dog. There is nothing more peaceful than taking the boat out on the water with my best pal and just enjoying the peace and tranquility of the water and the breeze. It makes a horrible day at work just melt away, proving that as long as I have these moments with my dog, everything is truly serene.",Emotional Reasoning
This week has been going great. I've established good relationships with all my friends and I feel like I'm at a place where I feel loved and supported by everyone who I know. I'm hanging out with people more and it just makes me happy that a lot of people want to hang out with me to. It's always a fun time to go out and get food which is something that I do a lot.,'This week has been going great. I've established good relationships with all my friends and I feel like I'm at a place where I feel loved and supported by everyone who I know. I'm hanging out with people more and I feel like such a popular and beloved person. It's always a fun time to go out and get food which is something that I do a lot.',Labeling/Global Labeling
"There was an incident with my spouse where he was trying to restrain our dog that recently had surgery when we were going to feed him. Unfortunately, the dog reared his head back and hit my spouse in the mouth and knocked out his dental crown. This situation surprised me and made me anxious/frustrated because my spouse was really upset and now we'd have additional expenses to fix his dental work.","'There was an incident with my spouse where he was trying to restrain our dog that recently had surgery when we were going to feed him. Unfortunately, the dog reared his head back and hit my spouse in the mouth and knocked out his dental crown. This situation surprised me and made me anxious/frustrated because my spouse was really upset and now we'd have to deal with the added stress of fixing his dental work.'",Mental Filter
The work yesterday was different than most of days. I had some issues and the deadline was approaching. I almost missed it. Luckily I have the best co-workers that helped me out before I have asked for any help.,"The work yesterday was different than most days. I had some issues and the deadline was approaching. I almost missed it. Luckily, I have the best co-workers who seemed to know I needed help before I even asked for any assistance.",Mind Reading
The salient thing i did yesterday was spending time with family. My husband was at home yesterday for two days then he will work again for 5 days. So we always make sure we spend quality time together as a family when he is at home.,The salient thing I did yesterday was spending time with family. My husband was at home yesterday for two days then he will work again for 5 days. So we always make sure we spend quality time together as a family when he is at home. It's the best way to cherish every moment.,Overgeneralization
The night before last i.e. yesterday morning I slept for over 10 hours straight which is not normally a thing I ever do like ever. Unfortunately I felt like absolute crap as the result of having caught something most likely the flu so I did not feel great at all in fact I felt like total crap. Cough crap in my throat crap in my lungs the whole bit. I was a bit worried I was going to wake up feeling way sicker but that didn't stop the fact that I absolutely needed to crash at like 8 PM. So I did. Woke up feeling sooo much more refreshed. Still sick but not nearly as bad. 10 hours of sleep was what I needed I guess. Still sick though.,'The night before last i.e. yesterday morning I slept for over 10 hours straight which is not normally a thing I ever do like ever. Unfortunately I felt like absolute crap as the result of having caught something most likely the flu so I did not feel great at all in fact I felt like total crap. Cough crap in my throat crap in my lungs the whole bit. I was a bit worried I was going to wake up feeling way sicker but that didn't stop the fact that I absolutely needed to crash at like 8 PM. So I did. Woke up feeling sooo much more refreshed. Still sick but not nearly as bad. 10 hours of sleep was what I needed I guess. Still sick though. Maybe my body knew I needed that much sleep to fight off this bug.',Personalization
"The most salient thing yesterday was relationship to my family. I talked to my daughter in the morning, to my son in the afternoon, and spent all day with my wife. I had a very enjoyable wonderful day.","The most salient thing yesterday was my relationship with my family. I talked to my daughter in the morning, to my son in the afternoon, and spent all day with my wife. I had a very enjoyable, wonderful day, but I should have been more present and attentive throughout our time together.",Should Statements
The most salient thing I felt yesterday was loving life. I for the most part feel blessed in all that I have accomplished in life and am very grateful,"The most salient thing I felt yesterday was loving life. I, for the most part, feel blessed in all that I have accomplished in life and am very grateful. Sometimes, others' negativity can really affect my positive outlook, but I try to stay focused on the good things.",Blaming
The most salient thing from yesterday was my 8-mile hike. I had the day off work so I decided to hit the hiking trails in my town. I spent a few hours hiking 8 miles in the Ozark Mountains. The day was warm and beautiful. Feeling the sun on my back felt good.,"The most salient thing from yesterday was my 8-mile hike. I had the day off work so I decided to hit the hiking trails in my town. I couldn't help but think, ""What if I got lost in the Ozark Mountains?"" I spent a few hours hiking 8 miles. The day was warm and beautiful. Feeling the sun on my back felt good.",What if?
"The most salient thing from yesterday was how we are a family (wife and 3 kids) but as of recent we have been very distant from each other so the household is cold and callous. Just last month our house was loud and boisterous, now its silent and uncomfortable.","The most salient thing from yesterday was how we are a family (wife and 3 kids) but as of recent we have been very distant from each other so the household is cold and callous. Just last month our house was loud and boisterous, now it's silent and uncomfortable, but that's probably just a temporary blip.",Discounting the Positive
