text,source
i sometimes feel that in making even violent play gentle ive ill prepared him for life as a boy but he is such a boy with boy interests and scorns all things girl,4.0
"From Indonesia; Iave been on AD last month and I only took it for 8 days. Then I stopped taking it. Not because I couldnt bear the side effect, but simply because my parents no longer allow me to take it.",1.0
im not perfect i still have an endless list of chores to do but im getting closer to feeling more in control of my life than out of control and helpless with my life,4.0
"I hate parents that shelter their kids by censoring every TV show, movie, video game, or musician.  Of course it's one thing to let a 5-year-old watch ""Silence of the Lambs""; but do you really expect to raise the next Einstein by blinding a kid to reality? By the time he's 13 he or she's gonna have some serious repression issues and grow up to be a psycho",3.0
i know it has to be soon but i feel rather defeated none of my other pregnancies have been this debilitating so maybe ill be sick all nine months this time,4.0
I am worried I will not pass my chemistry test next week. I have studied really hard but feel like I am still unprepared.,3.0
"I am 31 years old and female. When I was 23 I would work at a retail store night shift, would hear mumbling, laughing, vulgarity and talking all night, at the time I assumed it was just other people or co workers working in the aisle next to me. I would go outside and smoke at 3 am in the morning, the parking lot was empty, would still hear them, but, no one was there. Parking lot was empty. This happened night after night.",1.0
i cannot help feeling someone alarmed at the possible future uses of this data and these tracking devices particularily given that a key focus of these experiments seems to be on proving that commercial whaling ought to be reallowed all this talk of management of whale populations,4.0
"My boyfriend is a year and a half younger than me so i knew going into it that i might have issues with him being a bit immature in certain areas of our relationship, but when we first started dating he was my perfect guy. After two and a half years heas still an amazing guy but there are things that are ruining our relationship and Iam not sure if Iam just being impatient or if its just not going to work.",1.0
i find myself feeling kicked in the heart and i guess it is at that point that i can take heart that if i m feeling it that strongly then i must not be heartless after all,4.0
i have experienced hunger from illness etc i never really recognise it as such and it instead feels a lot like a cold slightly nauseas feeling radiating out from my sternum high stomach area,4.0
I was working out in the yard and my boyfriend came over to help. I didn't realize the jeans I was wearing gave my plumbers butt. My boyfriend will never let me live that one down.,3.0
"When my daughter told me she had news for me over the phone, her tone made me so apprehensive. Turns out, she just wanted to tell me she scratched the car.",3.0
"Iave been with my boyfriend for 2 years and 7 months. Since we are getting close to our next 3 year anniversary, he told me he wanted to talk to my family because he wants to ask me to marry him. I love him so much and of course i want to marry him, but before that i want to confess him something. I was planning not to but itas making me feel uneasy and terribly bad. I do want to tell him but i want to be sure if am doing the right thing and how should i tell him.",1.0
I was disgusted when I saw a fight in high school that ended with someone cracking their skull open a bit,3.0
i still miss dario i am still feeling the dull constant ache of heartbreak but at this very moment i am not crying curled up in a ball drowning in negative emotion over what happened yesterday,4.0
i could loose my job i would be so f amp ed for xmas i hate xmas i hate holidays i wish they would go away i feel nervous i feel sad what if i disappoint my family my friends,4.0
i wake up every morning and step foot onto soil of a country whose people have been conditioned to hate me wherever i go i can feel the eyes of those who find me vile ignorant filthy and disgusting,4.0
"My sonas wife I believe brainwashed him. We were a very close family up till the day after he married this Armenian woman. We, meaning the whole family, grandmother, sister, cousins, and aunt. We are a small family. We are not allowed to know where they live. He admits that his wife is mean to me in hopes I never will visit again. He has allowed this behavior from her which I do not understand.",1.0
"When I was little, my sister, who was my best friend, would do things like start a club with her imaginary friend and exclude me from it. When we were older, at our church, there were plenty of people her age to hang out with. Since I had hung out with her my whole life, I was used to this age of person and I wanted to be friends with them, too. My sister had outgrown me, so she wanted to have these friends to herself. A new convert came into our church that was my age, but she was allowed to hang out with these older friends because they wanted her to have friends since she was new. Again I was excluded. Today, I feel these same feelings as I deal with people in life. As soon as I feel a little bit rejected (which I probably magnify) I exclude myself and then feel jealous and bitter toward them. How do I get over these childhood events so that it will not affect my relationships with people around me? Thank you!",1.0
i want to encourage other women to take their time when losing the baby weight and to not feel discouraged when they see other women bounce back quickly after giving birth,4.0
i couldnt help but feel for him even with his troubled past and bad boy lifestyle i knew he really was a good guy trying to be a better person,4.0
i had always assumed that it would feel so strange and foreign to have this big belly and to feel kicks and flips going on inside of you but the truth is it all happens so slowly and gradually it ended up feeling much more natural to me than i thought it would,4.0
"Hey, here is the thing. I donat know what is happening to me. Itas like I canat feel anything, Iam not happy nor sad; like Iam stuck in something and I donat know how to get out. I want people to be there for me, yet at the same time I really want to be alone. But I donat want to feel alone, and that is how I feel, even when Iam with friends or family. No one understands me, and I canat explain because God knows how they will react.",1.0
"I keep seeing shadows outside my front windows and then hearing footsteps by the door but when I check, there's no one there.",3.0
i was also having my period ahhhh that explains why i wanted to murder the live bands at dam to dam and feeling generally shitty so the break was welcome,4.0
"Yesterday I did something at work that I am not too proud of.  I went in my coworkers desk and took some supplies.  Now, it is eating me up inside..",3.0
i was more annoyed with the info dump because it made the book too long but i feel i ll miss something if i skipped it which annoyed me more pages,4.0
Went out with the girlfriend to see a play. Only to arrive and find out they overbooked and were full.,3.0
"My friends are in the process of adopting a child through DFACS.  It has been a long time coming and all of us are eager for this to go through, it's been pretty nerve wracking",3.0
i climbed the hill feeling frustrated that id pretty much paced entirely wrong for this course and that a factor that has never ever hampered me had made such a dent in the day,4.0
Our little chihuahua was diagnosed with an auto-immune disease.  She got pancreatitis last August and then passed away in February.,3.0
I met this girl on Tinder this one time. She was really into me but then she randomly denied the hell outta me.,3.0
i was damn full but if he remind me about that at least i could force myself for a few more prawns and i would not feel so regretful now,4.0
"Itas been three years since I have been in a on-and-off relationship. He was a gentleman (which I think was my made up concept) during the start of the relationship. He later on turned to be a monster for me. He cheated on me (as much as I know) around 5 times. The first girl made her entry after the first month of our relationship. I thought people make mistakes and that they deserve forgiveness, so I decided on giving him his first chance. Moreover I had this sympathy for him that made me go back to him always. His sister used to tell me that he had a bad childhood and he wasnat given care then, so she had told me to take care of her baby brother. And he lost his father when he was in his 10th grade. All this made me give him chances over and over again.",1.0
i love black white and all of the neutral color for my outfit right now i feel like a blank canvas and i can set my mood for another collection without wasting a few precious hours to mix and match my daily outfits itll be black white or something with grey,4.0
id heard amazing things about the singapore zoo and they all came true i still have a conscious uneasiness when i think about zoos but i do feel the animals had a lot of love at this zoo and on a completely selfish human level its so amazing to see these animals up close,4.0
i guess my point is that while it feels a bit heartless and unsympathetic to tell how much i dont want to be her emotional rock if and when tragedy strikes it is also tells me much more that she really is not my friend,4.0
i know it sounds nuts but i can t help but feel envious when i see my friend s skydiving pictures even if i just got done snorkeling right in front of my house,4.0
"Iave lived with my aunt for over 6 years and the past 4 have been hell she yells at me constantly and sometimes hits me. When she does I just think and have to stop myself from acting but I just know that i could kill her. How do i stop the urges? Iave made plans about killing her then myself but I always stop myself. How do I tell my close friends about this and what should I do? She isnat the only person Iave thought about killing, the other is my female friends adopted dad who touches her and says explicit stuff to her.",1.0
i feel so humiliated when i find out they so openly concocted the pre election plot using their media to spread gross lies convincing my fellow protestors of mousavi s victory,4.0
i feel like i cant even say thank you in between sneezes and its even more awkward when they keep saying it after every few sneezes and even more awkward when they finally give up and im still sneezing,4.0
"Hi, I hope you might be able to give me some advice. Iave never had a problem making friends, although Iave always been selective about who I let get close to me. I am not someone with huge friendship groups though I have lots of individual friends. I do have a group of abest friendsa that I met at uni 10 years ago, 3 of whom I am closest too and have stayed in touch.",1.0
i would prefer to think of those dreams more of a reminder of how much i like to nurture people how good it makes me feel and how neglectful ive been of people lately,4.0
Where do I start? So Iave been doing a lot of self reflection and I believe I have a plethora of mental illnesses. Iall start with the events that have shaped my life to this day.,1.0
im not going to be mother teresa and sometimes that leaves me feeling a bit distraught but when i look back at the ministries i choose to participate in it is never the mercy ministries,4.0
Last week my partner rung me because he was stuck at work and could I pick him up? I had just finished work myself and was just sinking onto the sofa so I said Iad rather not Iam so tired a can someone there drop you home? He said head asked and we hung up. About a minute later I called him back and apologized of course I would pick him up a I felt awful that I had even hesitated. My issue now is that I canat get past my initial reaction despite the fact that my response was a positive one. What I want to know is which is a true indication of me as a person? I canat seem to find a satisfactory answer online to is it your reaction or your response that denotes your values and morals. I feel awful that my first reaction was to be selfish and I feel that shows who I really am. Thanks,1.0
I tripped on a puddle of water at a restaurant this morning. I'm pretty sure a lot of people saw it and laughed.,3.0
"30-11:00pm on weekdays and 12:00-12:30 on weekends. They have met him before but he is not allowed to come over to my house and hang out. He isnt even allowed to knock on the door when he picks me up!!this can get quite fustrating as i am an adult and i am treated like a child.. Third my parents have different opinions of him they like him one day they dont like him the next,. He is a decent guy doesnt get into trouble and is very nice when he sees my parents.We are both trying to stay strong but it is hurting us really bad and we have no idea what to do HELP PLEASE !!!!!!!",1.0
i feel like we broke up even if we have never date each other i felt lonely today i felt empty because he is not here with me but who is him,4.0
I met this girl on Tinder and we really hit it off. Then she randomly ghosted me and it made me really upset.,3.0
"My fiance and I have been engaged for over a year. Our wedding was put off because his parents asked him to build a house for them 2 months before our wedding! They had a perfectly good house at the time they just wanted their dream house. Regardless, my fiance granted their wishes and the concrete was poured the day that we were to get married.",1.0
"When a storm touched down close to my house, it was scary. I was not sure I was going to make it",3.0
i am still feeling a touch skeptical about google s claim that demand for an invitation to the network is so insane that it has had to close it off to newcomers,4.0
I was so frightened when a black cat started following me home. I am very superstitious and though perhaps it was a shapeshifter.,3.0
I dropped my plate of food in the middle of the busy break room at work.... I wanted to disappear!,3.0
For a long time I lived out in the middle of nowhere far away from many people. My friends and family were very far away and it felt very overwhelming sometimes.,3.0
"When I was a kid one of the things I wanted most was a remote control car. My older brother had a job and told me if I get all A's on my next report card, he would buy me the car. I was encouraged to do good in school for the reward. My report card came and my lowest score was A-.",3.0
"My 58 yr old sister and her 33 yr old son have a toxic co-dependent relationship. Both are mentally ill alcoholics, canat maintain a home, have experienced homelessness three times and my nephew is physically violent. Theyave had all the help and support in the world but they simply cannot function and it is just a matter of time before the next eviction.",1.0
i have to say i feel a little offended that our town is in turmoil and you sat back and didnt tell us until we decided to act selectmen geoffrey haworth told developers gordon deane and sumul shah who were also at the meeting,4.0
"I am dating a guy that I really care about, he is generally really good to me and helps me better my life in terms of school and work. The idea of him talking to other girls bothers me, a lot. Iave behaved very acrazya like with him. I feel impulsive, out of control. I imagine all of these threats, and even if they are real, my behavior is out of control. Iam not asking this question so I could make my relationship better, I am asking because I am really concerned, and my behavior is affecting those around me.A But I am not usually like this, I have not been like this with other guys. I am generally calm, I generally donat experience anxiety mentally. I dislike emotional people, but now I am being extremely emotional and irrational.",1.0
i feel irritated by the fact that i m forced to pay for the privilege of being able to prove who i am or at least by the fact that i m forced to pay such a lot,4.0
My power locks just went out on my car. It is super frustrating having to manually lock and unlock the doors.,3.0
I see my girlfriend looking at the other guys at the gym. She seems to always pay more attention to them instead of me.,3.0
